Bus ID,Bus Name,Bus Type,Departure Time,Arrival Time,Journey Duration,Lowest Price(INR),Highest Price(INR),Starting Point,Destination,Starting Point Parent,Destination Point Parent
1,Kalpana Travels Pvt. Ltd.,AC Sleeper (2+1),22:30,03:30,29h 00m,2200.0,2300.0,Shahi Baug,Kalpana travels kanpur fazalganj(2hr break in jaipur),Ahmedabad,Kanpur
2,Hans Travels (I) Private Limited,NON A/C Sleeper (2+1),21:00,07:35,34h 35m,3000.0,3000.0,CTM Char Rasta,Vijaynagar Road,Ahmedabad,Kanpur
3,Amit Satyam Travels,NON A/C Sleeper (2+1),06:55,11:15,28h 20m,3000.0,3000.0,Naroda,Faizalganj,Ahmedabad,Kanpur
4,Raj Ratan Tours And Travels,Bharat Benz A/C Sleeper (2+1),22:05,04:20,30h 15m,3599.0,3799.0,Bada Chiloda,Rama Devi Chowraha,Ahmedabad,Kanpur
5,Maa Vaishno Travels & Parcel,A/C Sleeper (2+1),20:15,00:30,28h 15m,3500.0,3500.0,BAGODARA RAJMANGAL HOTEL,BHAUTI BY PASS,Ahmedabad,Kanpur
6,Maa Vaishno Travels & Parcel,A/C Sleeper (2+1),21:30,00:30,27h 00m,3500.0,3500.0,SANATAN CHOWKDI,BHAUTI BY PASS,Ahmedabad,Kanpur
7,Shree Parshwanth Travels and Cargo,NON A/C Sleeper (2+2),22:00,19:00,21h 00m,2375.0,2375.0,Shahi Baug,Kanpur bus stand,Ahmedabad,Kanpur
8,Hans Travels (I) Private Limited,NON A/C Sleeper (2+1),22:30,09:00,34h 30m,2201.0,2201.0,CTM Char Rasta,Vijaynagar Road,Ahmedabad,Kanpur
9,Amit Travels Udaipur,NON A/C Sleeper (2+1),06:30,11:00,28h 30m,1400.0,1400.0,Narol,Faizalganj,Ahmedabad,Kanpur
10,Amit Travels Udaipur,NON A/C Sleeper (2+1),07:45,10:45,27h 00m,1400.0,1400.0,Nagarvel hanuman road arav shatabdi travels,Faizalganj,Ahmedabad,Kanpur
11,Shri Amar Shakti Travels,NON A/C Sleeper (2+1),07:00,11:00,28h 00m,5000.0,5000.0,Narol,Faizalganj,Ahmedabad,Kanpur
12,Kalpana Travels Pvt. Ltd.,AC Sleeper (2+1),07:30,10:30,27h 00m,2200.0,2300.0,Memco,Faizalganj,Ahmedabad,Kanpur
13,New Kothari Travels,NON A/C Sleeper (2+1),07:00,08:00,25h 00m,2500.0,3000.0,Narol,Kanpur,Ahmedabad,Kanpur
14,Sahara Travels,NON A/C Sleeper (2+1),21:30,21:00,23h 30m,2000.0,2200.0,Aslali Chokdi,Faizalganj,Ahmedabad,Kanpur
