Bus ID,Bus Name,Bus Type,Departure Time,Arrival Time,Journey Duration,Lowest Price(INR),Highest Price(INR),Starting Point,Destination,Starting Point Parent,Destination Point Parent
1,Tani Travels,AC Sleeper (2+1),22:15,07:30,09h 15m,1850.0,2050.0,Ramlata Business Center,Sangamwadi,Akola,Pune
2,Kanad Travels,A/C Sleeper (2+1),22:00,06:30,08h 30m,1619.1,2199.0,Ramlata Business Center,Sangamwadi,Akola,Pune
3,Kundan Travels,A/C Sleeper (2+1),20:50,06:10,09h 20m,1300.0,1890.0,Ramlata Business Center,Sangamwadi,Akola,Pune
4,Yuga Travels V-Class,VE A/C Sleeper (2+1),22:20,07:30,09h 10m,1852.5,2042.5,Ramlata Business Center,Sangamwadi,Akola,Pune
5,Sangitam Travels Tanzanite,A/C Sleeper (2+1),19:30,07:00,11h 30m,1680.0,2030.0,Ramlata Near Sangitam Travels,Sangamwadi Parking 1 - Sangitam Travels,Akola,Pune
6,RACHNA TRAVELS,A/C Sleeper (2+1),20:30,06:50,10h 20m,1299.0,1429.0,Ramlata Business Center,Sangamwadi,Akola,Pune
7,Yuga Travels V-Class,VE A/C Sleeper (2+1),21:00,06:30,09h 30m,1852.5,2042.5,Ramlata Business Center,Sangamwadi,Akola,Pune
8,Sara Travels,AC Sleeper (2+1),19:15,06:55,11h 40m,1599.0,1799.0,Ramlata Business Center,Sangamwadi,Akola,Pune
9,Tulsi Travels,NON A/C Sleeper (2+1),20:00,06:00,10h 00m,1420.0,1520.0,Ramlata Business Center,Ranjangaon,Akola,Pune
10,Chanchal Travel,AC Sleeper (2+1),19:45,06:00,10h 15m,1400.0,1600.0,Ramlata Business Center,Shikrapur,Akola,Pune
11,Yuga Travels V-Class,VE A/C Sleeper (2+1),23:50,09:00,09h 10m,1852.5,2042.5,Ramlata Business Center,Sangamwadi,Akola,Pune
12,Indumati Travels,A/C Sleeper (2+1),20:00,07:30,11h 30m,1600.0,2100.0,Nimwadi Luxury Bus Stand,Sangamwadi,Akola,Pune
13,Yuga Travels,A/C Sleeper (2+1),19:20,06:20,11h 00m,1662.5,1852.5,Nimwadi Luxury Bus Stand,Sangamwadi,Akola,Pune
14,Manasvi Roadlines,NON A/C Sleeper (2+1),19:30,07:20,11h 50m,1080.0,1080.0,Ramlata Business Center,Kharadi,Akola,Pune
15,Tulsi Travels,Bharat Benz A/C Sleeper (2+1),21:50,07:00,09h 10m,1699.0,1949.0,Ramlata Business Center,Wagholi,Akola,Pune
16,Prasanna - Purple Bus,VE A/C Sleeper (2+1),20:15,06:00,09h 45m,1120.0,1570.0,Ramlata Business Center,Sangamwadi,Akola,Pune
17,Prasanna - Purple Bus,VE A/C Sleeper (2+1),20:30,07:30,11h 00m,1020.0,1470.0,Ramlata Business Center,Chandan Nagar,Akola,Pune
18,Tulsi Travels,Bharat Benz A/C Sleeper (2+1),18:00,05:00,11h 00m,2099.0,2499.0,Ramlata Business Center,Viman Nagar,Akola,Pune
19,Ni3 bus,Bharat Benz A/C Sleeper (2+1),19:00,07:10,12h 10m,1999.0,2099.0,Ramlata Business Center,Bhosari,Akola,Pune
20,Yuga Travels V-Class,VE A/C Sleeper (2+1),23:20,08:20,09h 00m,1852.5,2042.5,Ramlata Business Center,Sangamwadi,Akola,Pune
21,OM SAI TRAVELS,AC Sleeper (2+1),19:00,06:30,11h 30m,1400.0,1400.0,Ramlata Business Center,Sangamwadi,Akola,Pune
22,Sindh Radhe Travels,AC Sleeper (2+1),21:00,05:15,08h 15m,2100.0,2300.0,Ramlata Business Center,Shirur Phata,Akola,Pune
23,Kanad Travels,A/C Sleeper (2+1),22:20,06:45,08h 25m,1299.0,1299.0,Ramlata Business Center,Wagholi,Akola,Pune
24,Raana Travels Rudraraj,A/C Sleeper (2+1),20:00,06:15,10h 15m,1350.0,1440.0,Nimwadi Luxury Bus Stand,Shirur Phata,Akola,Pune
25,Shivkrupa Raut Travels,Bharat Benz A/C Sleeper (2+1),18:30,05:30,11h 00m,1200.0,1300.0,Ramlata Business Center,Wagholi,Akola,Pune
26,Royal Chintamani,AC Sleeper (2+1),21:10,07:55,10h 45m,1500.0,1800.0,Ramlata Business Center,Bhosari,Akola,Pune
27,Hari om travels agency,NON A/C Sleeper (2+1),19:30,06:00,10h 30m,3555.0,3555.0,Ramlata Business Center,Shikrapur,Akola,Pune
28,Aadi Raj Travels,NON A/C Sleeper (2+1),20:00,05:35,09h 35m,800.0,800.0,Nimwadi Luxury Bus Stand,Wagholi,Akola,Pune
29,Kundan Travels,A/C Sleeper (2+1),21:30,06:40,09h 10m,5000.0,5000.0,Ramlata Business Center,Sangamwadi,Akola,Pune
30,Tayal Travels Tayal Simba,NON A/C Sleeper (2+1),19:46,06:16,10h 30m,950.0,1050.0,Nimwadi Luxury Bus Stand,Sangamwadi,Akola,Pune
31,Tayal Travels,NON A/C Sleeper (2+1),20:50,07:00,10h 10m,950.0,950.0,Nimwadi Luxury Bus Stand,Sangamwadi,Akola,Pune
32,"Swami Travels,Pune",NON A/C Sleeper (2+1),18:30,06:30,12h 00m,1395.0,1395.0,Ramlata Business Center,Sangamwadi,Akola,Pune
33,Harshika Tours and Travels,NON A/C Sleeper (2+1),20:00,07:30,11h 30m,1300.0,1400.0,Ramlata Business Center,Perane Phata,Akola,Pune
