Bus ID,Bus Name,Bus Type,Departure Time,Arrival Time,Journey Duration,Lowest Price(INR),Highest Price(INR),Starting Point,Destination,Starting Point Parent,Destination Point Parent
1,HRTC - 6753,Ordinary 3+2 Non AC Seater,11:30,17:30,06h 00m,290.0,290.0,CHANDIGARH 17,ISBT Kashmiri Gate,Chandigarh,Delhi
2,HRTC - 405032,A/C Executive (2+3),14:00,20:30,06h 30m,390.0,390.0,CHANDIGARH 17,ISBT Kashmiri Gate,Chandigarh,Delhi
3,HRTC - 6709,Ordinary 3+2 Non AC Seater,21:00,02:40,05h 40m,290.0,290.0,CHANDIGARH 17,ISBT Kashmiri Gate,Chandigarh,Delhi
4,HRTC - 6639,A/C Executive (2+3),22:35,03:30,04h 55m,390.0,390.0,CHANDIGARH 17,ISBT Kashmiri Gate,Chandigarh,Delhi
5,HRTC - 763,Ordinary 3+2 Non AC Seater,22:50,04:00,05h 10m,290.0,290.0,CHANDIGARH 17,ISBT Kashmiri Gate,Chandigarh,Delhi
6,RSRTC - 154328,Express Non AC Seater 2+3,05:43,10:45,05h 02m,315.0,315.0,Chandigarh,DELHI,Chandigarh,Delhi
7,RSRTC - 192348,Super Luxury Volvo AC Seater Pushback 2+2,21:15,02:30,05h 15m,691.0,691.0,SECTOR 17 BUS STAND,ISBT KASHMERE GATE DELHI,Chandigarh,Delhi
8,Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),23:30,05:20,05h 50m,1404.0,2405.0,Sec 43,ISBT Kashmiri Gate,Chandigarh,Delhi
9,NueGo,Electric A/C Seater (2+2),15:30,21:00,05h 30m,444.6,685.9,Opp ISBT Sec-43,ISBT Kashmiri Gate,Chandigarh,Delhi
10,NueGo,Electric A/C Seater (2+2),12:00,17:30,05h 30m,444.6,505.4,Opp ISBT Sec-43,ISBT Kashmiri Gate,Chandigarh,Delhi
11,AdKhurana Bus Service,Volvo A/C (2+2),21:50,03:00,05h 10m,500.0,500.0,Tribune Chowk,Mahipalpur,Chandigarh,Delhi
12,Laxmi Holidays Pvt Ltd,Bharat Benz A/C Sleeper (2+1),03:20,07:15,03h 55m,664.0,1120.0,Tribune Chowk Sector 31B,ISBT Kashmiri Gate,Chandigarh,Delhi
