Bus ID,Bus Name,Bus Type,Departure Time,Arrival Time,Journey Duration,Lowest Price(INR),Highest Price(INR),Starting Point,Destination,Starting Point Parent,Destination Point Parent
1,KSRTC (Kerala) - 2312,SWIFT-GARUDA A/C SEATER BUS,20:30,04:30,08h 00m,1048.0,1048.0,Kilambakkam new b.s. Pf-6,"L and t bypass jn, neelambur",Chennai,Coimbatore
2,SVT TRANZ,Bharat Benz A/C Sleeper (2+1),21:05,07:15,10h 10m,1500.0,1800.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
3,THAMARAI BUS TRANSPORTS,Bharat Benz A/C Sleeper (2+1),21:00,06:00,09h 00m,1100.0,1620.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
4,AdCity Travels,Bharat Benz A/C Sleeper (2+1),21:00,06:45,09h 45m,1799.0,2099.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
5,Delta Transports Pvt Ltd,Bharat Benz A/C Sleeper (2+1),21:30,07:25,09h 55m,1349.0,1999.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
6,SST Limoliner,Bharat Benz A/C Sleeper (2+1),21:00,06:45,09h 45m,1299.0,1799.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
7,Chakra Travels,Bharat Benz A/C Sleeper (2+1),21:45,07:00,09h 15m,1140.0,1550.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
8,AdSPS Travels India,A/C Sleeper (2+1),20:30,05:55,09h 25m,850.0,1180.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
9,Mettur Super Services(mss),A/C Seater / Sleeper (2+1),21:45,06:53,09h 08m,480.0,830.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
10,SK Balu Bus,VE A/C Sleeper (2+1),23:15,08:45,09h 30m,800.0,900.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
11,SHRI AANJANEYA TRAVELS,Bharat Benz A/C Sleeper (2+1),21:00,05:55,08h 55m,1234.05,1709.05,Koyambedu,Gandhipuram,Chennai,Coimbatore
12,SST Limoliner,Bharat Benz A/C Seater /Sleeper (2+1),21:15,06:55,09h 40m,999.0,1699.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
13,ACLS Navigator,Bharat Benz A/C Sleeper (2+1),21:15,06:50,09h 35m,1549.0,1699.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
14,KRSVP TRAVELS,Bharat Benz A/C Seater /Sleeper (2+1),21:30,06:58,09h 28m,760.0,1560.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
15,Delta Transports Pvt Ltd,Bharat Benz A/C Sleeper (2+1),22:00,07:55,09h 55m,1380.0,2400.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
16,A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),21:00,06:45,09h 45m,703.0,1480.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
17,ARS Travels,Bharat Benz A/C Sleeper (2+1),21:30,06:45,09h 15m,1100.0,1400.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
18,Sivakumaran Buses,Bharat Benz A/C Sleeper (2+1),21:15,06:55,09h 40m,949.0,1549.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
19,SURYA TRANSPORTS,A/C Sleeper (2+1),21:30,06:55,09h 25m,1500.0,2030.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
20,IntrCity SmartBus,AC Sleeper (2+1),21:35,07:05,09h 30m,1359.0,2419.0,Perungalathur,Gandhipuram,Chennai,Coimbatore
21,VKV Travels,A/C Sleeper (2+1),16:15,01:40,09h 25m,1520.0,2033.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
22,SNB Travels,Bharat Benz A/C Sleeper (2+1),23:00,07:15,08h 15m,1290.0,1590.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
23,No 1 Air Travels,Bharat Benz A/C Sleeper (2+1),23:30,08:30,09h 00m,950.0,1100.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
24,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),21:40,07:15,09h 35m,1359.0,2419.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
25,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:00,08:55,09h 55m,899.0,2419.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
26,Krish Travels,A/C Seater / Sleeper (2+1),23:15,08:30,09h 15m,850.0,1400.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
27,VSN Travels,A/C Sleeper (2+1),20:55,06:50,09h 55m,910.8,1400.4,Koyambedu,Gandhipuram,Chennai,Coimbatore
28,Sivakumaran Buses,Bharat Benz A/C Sleeper (2+1),20:30,06:25,09h 55m,949.0,1499.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
29,JB Connect,Bharat Benz A/C Sleeper (2+1),21:10,06:20,09h 10m,1210.0,1520.0,Velachery,Gandhipuram,Chennai,Coimbatore
30,A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),20:30,06:30,10h 00m,1150.0,2020.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
31,SK Balu Bus,VE A/C Sleeper (2+1),21:30,07:00,09h 30m,950.0,1050.0,Velachery,Gandhipuram,Chennai,Coimbatore
32,SK Balu Bus,VE A/C Sleeper (2+1),07:30,17:00,09h 30m,800.0,900.0,Velachery,Gandhipuram,Chennai,Coimbatore
33,JB Connect,Bharat Benz A/C Sleeper (2+1),21:00,06:45,09h 45m,1210.0,1690.0,Kolathur,Gandhipuram,Chennai,Coimbatore
34,YBM Travels(BLM),A/C Sleeper (2+1),21:30,06:15,08h 45m,1560.0,2110.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
35,IntrCity SmartBus,AC Sleeper (2+1),21:18,08:20,11h 02m,1359.0,2419.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
36,Krish Travels,Bharat Benz A/C Seater /Sleeper (2+1),19:45,05:20,09h 35m,850.0,1400.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
37,(SBLT) Shri Bhagiyalakshimi Travels (MAARA),A/C Sleeper (2+1),19:25,05:30,10h 05m,1180.0,1480.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
38,No 1 Air Travels,Bharat Benz A/C Sleeper (2+1),20:45,07:00,10h 15m,950.0,1100.0,Koyambedu,Gandhipuram,Chennai,Coimbatore
