Bus ID,Bus Name,Bus Type,Departure Time,Arrival Time,Journey Duration,Lowest Price(INR),Highest Price(INR),Starting Point,Destination,Starting Point Parent,Destination Point Parent
1,NueGo,Electric A/C Seater (2+2),06:00,09:40,03h 40m,398.05,457.9,Koyambedu,Rajiv Gandhi Statue,Chennai,Pondicherry
2,NueGo,Electric A/C Seater (2+2),07:00,10:40,03h 40m,398.05,457.9,Koyambedu,Rajiv Gandhi Statue,Chennai,Pondicherry
3,NueGo,Electric A/C Seater (2+2),18:00,22:30,04h 30m,398.05,449.35,Koyambedu,Rajiv Gandhi Statue,Chennai,Pondicherry
4,NueGo,Electric A/C Seater (2+2),10:00,13:40,03h 40m,398.05,457.9,Koyambedu,Rajiv Gandhi Statue,Chennai,Pondicherry
5,NueGo,Electric A/C Seater (2+2),12:00,15:40,03h 40m,438.9,548.15,Koyambedu,Rajiv Gandhi Statue,Chennai,Pondicherry
6,NueGo,Electric A/C Seater (2+2),05:00,08:40,03h 40m,398.05,457.9,Koyambedu,Rajiv Gandhi Statue,Chennai,Pondicherry
7,NueGo,Electric A/C Seater (2+2),19:00,23:30,04h 30m,398.05,457.9,Koyambedu,Rajiv Gandhi Statue,Chennai,Pondicherry
8,NueGo,Electric A/C Seater (2+2),16:00,19:40,03h 40m,398.05,457.9,Koyambedu,Rajiv Gandhi Statue,Chennai,Pondicherry
9,NueGo,Electric A/C Seater (2+2),21:00,00:40,03h 40m,398.05,457.9,Koyambedu,Rajiv Gandhi Statue,Chennai,Pondicherry
10,Rathimeena Travels B,Non A/C Seater / Sleeper (2+1),06:05,09:00,02h 55m,400.0,440.0,Koyambedu,Indira Gandhi Statue,Chennai,Pondicherry
11,DELTAKING TRAVELS,A/C Seater / Sleeper (2+1),07:35,11:30,03h 55m,597.0,747.0,Koyambedu,Rajiv Gandhi Statue,Chennai,Pondicherry
12,NueGo,Electric A/C Seater (2+2),14:00,17:40,03h 40m,398.05,467.4,Koyambedu,Rajiv Gandhi Statue,Chennai,Pondicherry
13,NueGo,Electric A/C Seater (2+2),08:00,11:40,03h 40m,398.05,457.9,Koyambedu,Rajiv Gandhi Statue,Chennai,Pondicherry
14,Rathimeena Travels B,Non A/C Seater / Sleeper (2+1),17:05,20:00,02h 55m,400.0,440.0,Koyambedu,Indira Gandhi Statue,Chennai,Pondicherry
15,RKK Travels,Volvo A/C Semi Sleeper (2+2),15:30,19:15,03h 45m,395.0,395.0,Koyambedu,New Bus Stand,Chennai,Pondicherry
16,Rathimeena Travels B,Non A/C Seater / Sleeper (2+1),23:35,03:15,03h 40m,400.0,440.0,Koyambedu,Indira Gandhi Statue,Chennai,Pondicherry
17,Rathimeena Travels B,A/C Sleeper (2+1),15:05,19:00,03h 55m,562.0,562.0,Koyambedu,Indira Gandhi Statue,Chennai,Pondicherry
18,Reliance Travels,NON A/C Semi Sleeper / Sleeper (2+1),21:05,01:30,04h 25m,550.0,850.0,Koyambedu,Indira Gandhi Statue,Chennai,Pondicherry
19,THAI MOOKAMBIGAI XPRESS,Non A/C Seater / Sleeper (2+1),20:00,23:55,03h 55m,549.0,799.0,Koyambedu,Indira Gandhi Statue,Chennai,Pondicherry
20,Olive Travels Lines,A/C Seater / Sleeper (2+1),11:20,15:30,04h 10m,600.0,870.0,Koyambedu,Indira Gandhi Statue,Chennai,Pondicherry
21,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),17:00,21:00,04h 00m,600.0,800.0,Koyambedu,New Bus Stand,Chennai,Pondicherry
22,DELTAKING TRAVELS,A/C Seater / Sleeper (2+1),21:15,01:15,04h 00m,597.0,847.0,Koyambedu,Indira Gandhi Statue,Chennai,Pondicherry
23,Rathimeena Travels A,A/C Seater / Sleeper (2+1),21:46,01:45,03h 59m,524.0,562.0,Koyambedu,Indira Gandhi Statue,Chennai,Pondicherry
24,Rathimeena Travels A,Non A/C Seater / Sleeper (2+1),22:21,01:30,03h 09m,400.0,500.0,Koyambedu,Indira Gandhi Statue,Chennai,Pondicherry
25,VPS Transport,Non A/C Seater / Sleeper (2+1),21:00,01:30,04h 30m,500.0,650.0,Koyambedu,New Bus Stand,Chennai,Pondicherry
26,VIVIN Travels,A/C Sleeper (2+1),21:45,01:00,03h 15m,700.0,900.0,Koyambedu,New Bus Stand,Chennai,Pondicherry
27,Sri Poorvika Travels,A/C Seater / Sleeper (2+1),22:45,02:40,03h 55m,500.0,3899.0,Koyambedu,New Bus Stand,Chennai,Pondicherry
28,R.S.MANI KNIGHT RIDERS,Bharat Benz A/C Sleeper (2+1),21:00,00:30,03h 30m,599.0,899.0,Koyambedu,New Bus Stand,Chennai,Pondicherry
29,RGL Travels,Non A/C Seater / Sleeper (2+1),22:00,00:30,02h 30m,600.0,900.0,Sholinganallur,New Bus Stand,Chennai,Pondicherry
30,Kalaimakal Travelss,NON AC Seater / Sleeper 2+1,21:20,01:30,04h 10m,550.0,650.0,Koyambedu,New Bus Stand,Chennai,Pondicherry
31,Rathimeena Travels B,A/C Sleeper (2+1),23:05,02:15,03h 10m,562.0,562.0,Koyambedu,Indira Gandhi Statue,Chennai,Pondicherry
32,Reliance Travels,NON A/C Semi Sleeper (2+2),22:06,01:45,03h 39m,650.0,650.0,Koyambedu,Indira Gandhi Statue,Chennai,Pondicherry
33,YAS Tours and Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),18:05,22:35,04h 30m,700.0,800.0,Koyambedu,Rajiv Gandhi Statue,Chennai,Pondicherry
34,Rathimeena Travels A,Non A/C Seater / Sleeper (2+1),22:36,01:50,03h 14m,400.0,500.0,Koyambedu,Indira Gandhi Statue,Chennai,Pondicherry
35,Rathimeena Travels A,Non A/C Seater / Sleeper (2+1),22:01,01:45,03h 44m,400.0,500.0,Koyambedu,Indira Gandhi Statue,Chennai,Pondicherry
36,Rathimeena Travels A,VE A/C Seater / Sleeper (2+1),21:31,01:30,03h 59m,524.0,562.0,Koyambedu,Rajiv Gandhi Statue,Chennai,Pondicherry
37,Rathimeena Travels A,A/C Sleeper (2+1),22:06,02:05,03h 59m,562.0,562.0,Koyambedu,Rajiv Gandhi Statue,Chennai,Pondicherry
38,VPS Transport,Non A/C Seater / Sleeper (2+1),20:55,00:45,03h 50m,500.0,700.0,Koyambedu,New Bus Stand,Chennai,Pondicherry
39,VPS Transport,Non A/C Seater / Sleeper (2+1),21:00,00:45,03h 45m,500.0,750.0,Koyambedu,New Bus Stand,Chennai,Pondicherry
40,Universal Bus( UTS),NON AC Seater / Sleeper 2+1,21:00,23:55,02h 55m,570.0,800.0,Koyambedu,New Bus Stand,Chennai,Pondicherry
41,Aruna Bus Service,Bharat Benz A/C Sleeper (2+1),22:25,02:05,03h 40m,700.0,700.0,Koyambedu,New Bus Stand,Chennai,Pondicherry
42,SKM Tours & Travels,A/C Semi Sleeper (2+2),22:00,00:45,02h 45m,500.0,500.0,Koyambedu,Indira Gandhi Statue,Chennai,Pondicherry
43,Rathimeena Travels A,A/C Sleeper (2+1),15:05,19:00,03h 55m,562.0,562.0,Koyambedu,Indira Gandhi Statue,Chennai,Pondicherry
44,Universal Bus( UTS),NON AC Seater / Sleeper 2+1,22:30,01:15,02h 45m,540.0,670.0,Koyambedu,New Bus Stand,Chennai,Pondicherry
45,Universal Travels,A/C Seater/Sleeper (2+1),23:30,02:40,03h 10m,390.0,610.0,Koyambedu,Indira Gandhi Statue,Chennai,Pondicherry
46,Olive Travels Lines,NON A/C Seater/ Sleeper (2+1),20:00,23:50,03h 50m,550.0,840.0,Koyambedu,Indira Gandhi Statue,Chennai,Pondicherry
47,Orange Tours and Travels,A/C Sleeper (2+1),05:30,09:00,03h 30m,660.0,750.0,Koyambedu,New Bus Stand,Chennai,Pondicherry
48,Orange Tours and Travels,Volvo Multi-Axle Sleeper A/C (2+1),04:35,08:30,03h 55m,700.0,700.0,Koyambedu,New Bus Stand,Chennai,Pondicherry
