Bus ID,Bus Name,Bus Type,Departure Time,Arrival Time,Journey Duration,Lowest Price(INR),Highest Price(INR),Starting Point,Destination,Starting Point Parent,Destination Point Parent
1,KSRTC (Kerala) - 2316,SWIFT-GARUDA A/C SEATER BUS,22:30,06:40,08h 10m,1335.0,1335.0,"L and t bypass jn, neelambur",Kilambakkam new b.s. Pf-6,Coimbatore,Chennai
2,SVT TRANZ,Bharat Benz A/C Sleeper (2+1),21:05,06:35,09h 30m,1777.0,2222.0,Omni Bus Stand,Koyambedu,Coimbatore,Chennai
3,IntrCity SmartBus,AC Sleeper (2+1),21:00,07:40,10h 40m,1919.0,3159.0,Omni Bus Stand,Koyambedu,Coimbatore,Chennai
4,AdSPS Travels India,A/C Sleeper (2+1),19:00,04:30,09h 30m,1480.0,1870.0,Omni Bus Stand,Koyambedu,Coimbatore,Chennai
5,SST Limoliner,Bharat Benz A/C Sleeper (2+1),21:15,07:15,10h 00m,1899.0,2499.0,Omni Bus Stand,Koyambedu,Coimbatore,Chennai
6,THAMARAI BUS TRANSPORTS,Bharat Benz A/C Sleeper (2+1),21:30,06:30,09h 00m,1780.0,2330.0,Omni Bus Stand,Koyambedu,Coimbatore,Chennai
7,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),21:15,06:45,09h 30m,1919.0,3159.0,Omni Bus Stand,Koyambedu,Coimbatore,Chennai
8,AdSUSHEEL TRAVELS,VE A/C Sleeper (2+1),21:45,07:55,10h 10m,1300.0,1400.0,Omni Bus Stand,Koyambedu,Coimbatore,Chennai
9,Delta Transports Pvt Ltd,Bharat Benz A/C Sleeper (2+1),21:20,07:00,09h 40m,2329.0,3359.0,Omni Bus Stand,Koyambedu,Coimbatore,Chennai
10,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:45,08:15,09h 30m,1139.0,2859.0,Omni Bus Stand,Koyambedu,Coimbatore,Chennai
11,VSN Travels,A/C Sleeper (2+1),21:00,07:15,10h 15m,1604.7,2080.8,Omni Bus Stand,Koyambedu,Coimbatore,Chennai
12,ACLS Navigator,Bharat Benz A/C Sleeper (2+1),22:15,06:55,08h 40m,1889.0,2129.0,Omni Bus Stand,Koyambedu,Coimbatore,Chennai
