Bus ID,Bus Name,Bus Type,Departure Time,Arrival Time,Journey Duration,Lowest Price(INR),Highest Price(INR),Starting Point,Destination,Starting Point Parent,Destination Point Parent
1,V.A.A Mani Travels,Bharat Benz A/C Seater /Sleeper (2+1),21:10,05:20,08h 10m,599.0,949.0,Omni Bus Stand,Bus Stand,Coimbatore,Tiruchendur
2,KNT Travels,Bharat Benz A/C Seater /Sleeper (2+1),21:45,05:45,08h 00m,2900.0,2900.0,Gandhipuram,Bus Stand,Coimbatore,Tiruchendur
3,Puthiyavan Transports,A/C Sleeper (2+1),21:45,05:30,07h 45m,899.0,999.0,Gandhipuram,Bus Stand,Coimbatore,Tiruchendur
4,PSS Transport,A/C Seater / Sleeper (2+1),21:45,05:15,07h 30m,600.0,900.0,Omni Bus Stand,Tiruchendur,Coimbatore,Tiruchendur
5,KNT Travels,Bharat Benz A/C Seater /Sleeper (2+1),06:00,15:00,09h 00m,3999.0,3999.0,Gandhipuram,Bus Stand,Coimbatore,Tiruchendur
6,Hindusthan Travels,A/C Sleeper (2+1),21:30,05:30,08h 00m,800.0,900.0,Omni Bus Stand,Bus Stand,Coimbatore,Tiruchendur
7,Krish Travels,A/C Sleeper (2+1),22:45,06:30,07h 45m,900.0,999.0,Omni Bus Stand,Bus Stand,Coimbatore,Tiruchendur
8,Arthi Travels,NON A/C Semi Sleeper / Sleeper (2+1),20:30,04:50,08h 20m,500.0,600.0,Avarampalayam,Bus Stand,Coimbatore,Tiruchendur
9,Arthi Travels,A/C Seater / Sleeper (2+1),22:15,06:10,07h 55m,500.0,800.0,Avarampalayam,Bus Stand,Coimbatore,Tiruchendur
10,Arthi Travels,Non A/C Seater / Sleeper (2+1),21:00,05:15,08h 15m,500.0,600.0,Avarampalayam,Bus Stand,Coimbatore,Tiruchendur
11,Air Indiaa Travels,NON A/C Semi Sleeper / Sleeper (2+1),22:00,05:30,07h 30m,510.0,750.0,Omni Bus Stand,Bus Stand,Coimbatore,Tiruchendur
12,Krish Travels,NON AC Seater / Sleeper 2+1,22:15,06:30,08h 15m,450.0,700.0,Omni Bus Stand,Bus Stand,Coimbatore,Tiruchendur
13,Sri Bala Tours and Travels,A/C Seater / Sleeper (2+1),22:30,06:15,07h 45m,349.0,899.0,Omni Bus Stand,Bus Stand,Coimbatore,Tiruchendur
14,A1 Travels,NON A/C Sleeper (2+1),21:45,05:30,07h 45m,700.0,800.0,Gandhipuram,Bus Stand,Coimbatore,Tiruchendur
15,A1 Travels,Non A/C Seater / Sleeper (2+1),21:15,05:15,08h 00m,600.0,800.0,Gandhipuram,Bus Stand,Coimbatore,Tiruchendur
16,SPS Travels India,Non A/C Seater / Sleeper (2+1),21:15,05:15,08h 00m,800.0,999.0,Gandhipuram,Jpr,Coimbatore,Tiruchendur
17,City Travels,Non A/C Seater / Sleeper (2+1),20:00,05:30,09h 30m,999.0,1299.0,Thudiyalur,Jpr,Coimbatore,Tiruchendur
18,Krish Travels,NON A/C Seater/ Sleeper (2+1),21:30,06:00,08h 30m,500.0,700.0,Omni Bus Stand,Bus Stand,Coimbatore,Tiruchendur
19,SPS Travels India,NON AC Seater / Sleeper 2+1,20:55,05:35,08h 40m,800.0,999.0,Omni Bus Stand,Jpr,Coimbatore,Tiruchendur
20,Jayam travels,Non A/C Seater / Sleeper (2+1),21:45,06:15,08h 30m,665.95,950.95,Omni Bus Stand,Bus Stand,Coimbatore,Tiruchendur
21,JSS Travels,Non A/C Seater / Sleeper (2+1),20:05,05:35,09h 30m,659.0,999.0,Malumichampatti,Bus Stand,Coimbatore,Tiruchendur
22,Vivegam Travels,NON A/C Sleeper (2+1),22:15,07:15,09h 00m,660.0,770.0,Omni Bus Stand,Bus Stand,Coimbatore,Tiruchendur
23,Arthi Travels,Non A/C Seater / Sleeper (2+1),21:55,05:45,07h 50m,499.0,599.0,Gandhipuram,Bus Stand,Coimbatore,Tiruchendur
24,Krish Travels,NON A/C Seater/ Sleeper (2+1),08:30,17:00,08h 30m,500.0,700.0,Omni Bus Stand,Bus Stand,Coimbatore,Tiruchendur
25,Krish Travels,A/C Sleeper (2+1),09:30,17:45,08h 15m,700.0,800.0,Omni Bus Stand,Bus Stand,Coimbatore,Tiruchendur
26,Krish Travels,NON AC Seater / Sleeper 2+1,09:00,17:15,08h 15m,450.0,700.0,Omni Bus Stand,Bus Stand,Coimbatore,Tiruchendur
27,PAT BUS,NON A/C Sleeper (2+1),22:15,07:25,09h 10m,3000.0,3000.0,Gandhipuram,Bus Stand,Coimbatore,Tiruchendur
