Bus ID,Bus Name,Bus Type,Departure Time,Arrival Time,Journey Duration,Lowest Price(INR),Highest Price(INR),Starting Point,Destination,Starting Point Parent,Destination Point Parent
1,zingbus Maxx,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:30,09:45,14h 15m,1707.0,1707.0,ISBT Kashmiri Gate,Mohan Sarai Underbridge,Delhi,Varanasi
2,Gola Bus Service,Bharat Benz A/C Seater /Sleeper (2+1),20:00,09:20,13h 20m,1999.0,2999.0,ISBT Kashmiri Gate,JIO BP PETROL PUMP,Delhi,Varanasi
3,Gola Bus Service,Bharat Benz A/C Sleeper (2+1),19:00,08:20,13h 20m,886.0,1569.0,ISBT Kashmiri Gate,JIO BP PETROL PUMP,Delhi,Varanasi
4,AdRaj Kalpana Travels Pvt.Ltd,A/C Seater / Sleeper (2+1),16:15,05:15,13h 00m,2499.0,3999.0,ISBT Kashmiri Gate,Laher Tara Chauraha Fulwariya Road Pillor No 26 A,Delhi,Varanasi
5,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),16:30,06:30,14h 00m,879.0,1536.0,ISBT Kashmiri Gate,RADHA PETROL PUMP MUDELA,Delhi,Varanasi
6,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),20:00,09:00,13h 00m,886.0,1548.0,ISBT Kashmiri Gate,RADHA PETROL PUMP MUDELA,Delhi,Varanasi
7,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),17:30,07:00,13h 30m,900.0,1572.0,ISBT Kashmiri Gate,RADHA PETROL PUMP MUDELA,Delhi,Varanasi
8,AdRaj Kalpana Travels Pvt.ltd,A/C Seater/Sleeper (2+1),20:00,09:00,13h 00m,2499.0,3499.0,ISBT Kashmiri Gate,Laher Tara Chauraha Fulwariya Road Pillor No 26 A,Delhi,Varanasi
9,Tiwari and Brothers,A/C Sleeper (2+1),21:15,11:15,14h 00m,2849.05,3324.05,ISBT Kashmiri Gate,Reliance PETROL PUMP( Bhullanpur),Delhi,Varanasi
10,RS YADAV SMART BUS,A/C Seater / Sleeper (2+1),19:45,10:50,15h 05m,1099.0,1799.0,ISBT Kashmiri Gate,Laher tara road,Delhi,Varanasi
11,RS YADAV SMART BUS,A/C Seater / Sleeper (2+2),17:00,09:25,16h 25m,999.0,1499.0,ISBT Kashmiri Gate,Laher tara road,Delhi,Varanasi
12,RS YADAV SMART BUS,VE A/C Seater / Sleeper (2+2),17:00,09:25,16h 25m,1199.0,1599.0,ISBT KASHMIRI GATE INSIDE ARRIVAL PLATFORM NEAR 1 AND 2,Laher tara road,Delhi,Varanasi
13,OurBus India Limited,Bharat Benz A/C Seater /Sleeper (2+1),18:30,10:00,15h 30m,1000.8,1942.2,ISBT Kashmiri Gate,Transport Nagar Parking Mohansarai Varanasi,Delhi,Varanasi
14,RS YADAV SMART BUS,VE A/C Seater / Sleeper (2+1),19:45,10:50,15h 05m,1099.0,1599.0,ISBT KASHMIRI GATE INSIDE ARRIVAL PLATFORM NEAR 1 AND 2,Laher tara road,Delhi,Varanasi
