Bus ID,Bus Name,Bus Type,Departure Time,Arrival Time,Journey Duration,Lowest Price(INR),Highest Price(INR),Starting Point,Destination,Starting Point Parent,Destination Point Parent
1,NBSTC-KOL-COB-E2-3:00 pm - 171781,Non AC Seater (2+3),15:00,04:20,13h 20m,450.0,450.0,Esplanade,Tenzing Norgay Central Bus Stand,Kolkata,Siliguri
2,NBSTC-KOL-COB-R1-17:00 - 156429,Non AC Seater 2+2,17:00,05:00,12h 00m,486.0,486.0,Esplanade,Tenzing Norgay Central Bus Stand,Kolkata,Siliguri
3,NBSTC-KOL-SLG-R1-18:00 - 156411,NON A/C Seater Push Back (2+2),18:00,06:00,12h 00m,486.0,486.0,Esplanade,Tenzing Norgay Central Bus Stand,Kolkata,Siliguri
4,NBSTC-KOL-RAI-SLG-AC-19:30 - 176649,AC Seater (2+2),19:30,07:30,12h 00m,1245.0,1245.0,Esplanade,Tenzing Norgay Central Bus Stand,Kolkata,Siliguri
5,WBTC (CTC) KOLKATA-RAIGUNGE-SILIGURI(AC-VOLVO) - 195|17:50,A/C Seater (2+2),17:50,05:35,11h 45m,1355.0,1355.0,Esplanade,Siliguri,Kolkata,Siliguri
6,WBTC (CTC) KOLKATA-RAIGUNGE-SILIGURI(AC-VOLVO) - 195|18:30,A/C Seater (2+2),18:30,06:15,11h 45m,1355.0,1355.0,Esplanade,Siliguri,Kolkata,Siliguri
7,WBTC (CTC) BARUIPUR-KOLKATA-RAIGUNGE-SILIGURI(AC-VOLVO) - 213|19:00,A/C Seater (2+2),19:00,06:50,11h 50m,1355.0,1355.0,Esplanade,Siliguri,Kolkata,Siliguri
8,Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:30,09:25,12h 55m,2999.0,2999.0,Esplanade,Siliguri Junction,Kolkata,Siliguri
9,Raipur Cruiser,Volvo 9600 Multi-Axle A/C Sleeper (2+1),17:45,06:30,12h 45m,2081.25,2312.5,Santragachi,Tenzing Norgay Central Bus Stand,Kolkata,Siliguri
10,Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:50,08:45,12h 55m,3000.0,3000.0,Esplanade,Siliguri Junction,Kolkata,Siliguri
11,AdRaipur Cruiser,Volvo 9600 A/C Seater (2+2),19:45,07:45,12h 00m,2313.0,2313.0,Santragachi,Tenzing Norgay Central Bus Stand,Kolkata,Siliguri
12,Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,07:25,12h 55m,3000.0,3000.0,Esplanade,Siliguri Junction,Kolkata,Siliguri
13,Shyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:15,08:15,13h 00m,3000.0,3000.0,Esplanade,Tenzing Norgay Central Bus Stand,Kolkata,Siliguri
14,Lokenath Bus Service,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:45,07:30,12h 45m,2899.0,3099.0,Esplanade,Siliguri Junction bus stand,Kolkata,Siliguri
15,AdRubi Paribahan  ,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:00,07:30,12h 30m,2400.0,2770.0,Esplanade,Tenzing Norgay Central Bus Stand,Kolkata,Siliguri
16,Greenline,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:00,08:15,13h 15m,2700.0,2800.0,Esplanade,Tenzing Norgay Central Bus Stand,Kolkata,Siliguri
17,Greenline,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,07:30,13h 00m,2280.0,2620.0,Esplanade,Tenzing Norgay Central Bus Stand,Kolkata,Siliguri
18,Shyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:00,06:50,12h 50m,3300.0,3300.0,Esplanade,Tenzing Norgay Central Bus Stand,Kolkata,Siliguri
19,Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:15,08:10,12h 55m,3000.0,3000.0,Esplanade,Siliguri Junction,Kolkata,Siliguri
20,Rubi Paribahan  ,Volvo 9600 A/C Seater/Sleeper (2+1),18:45,08:00,13h 15m,1980.0,2830.0,Esplanade,Tenzing Norgay Central Bus Stand,Kolkata,Siliguri
