Bus ID,Bus Name,Bus Type,Departure Time,Arrival Time,Journey Duration,Lowest Price(INR),Highest Price(INR),Starting Point,Destination,Starting Point Parent,Destination Point Parent
1,Kadamba Transport Corporation Limited (KTCL) - 97386,Volvo AC Seater Pushback 2+2,17:05,06:00,12h 55m,1200.0,1200.0,Borivali West,Mapusa,Mumbai,Goa
2,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),18:40,09:00,14h 20m,1271.0,2181.0,Sion,Mapusa,Mumbai,Goa
3,Zingbus Plus,VE A/C Sleeper (2+1),20:00,11:55,15h 55m,1614.0,2887.0,Borivali West,Mapusa,Mumbai,Goa
4,AdAtmaram Travels,NON A/C Sleeper (2+1),18:00,10:15,16h 15m,1500.0,1600.0,Borivali West,Mapusa,Mumbai,Goa
5,IntrCity SmartBus,AC Sleeper (2+1),18:15,10:20,16h 05m,2000.0,2200.0,Borivali West,Mapusa,Mumbai,Goa
6,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),17:00,08:55,15h 55m,1367.0,1367.0,Borivali West,Mapusa,Mumbai,Goa
7,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),18:00,09:55,15h 55m,1389.5,2485.88,Borivali West,Mapusa,Mumbai,Goa
8,AdKonkan Travels National,A/C Sleeper (2+1),18:00,10:55,16h 55m,1399.0,1599.0,Borivali West,Panjim,Mumbai,Goa
9,IntrCity SmartBus,AC Sleeper (2+1),18:45,10:30,15h 45m,2000.0,2200.0,Borivali West,Mapusa,Mumbai,Goa
10,IntrCity SmartBus,AC Sleeper (2+1),17:00,08:35,15h 35m,2000.0,2000.0,Borivali West,Mapusa,Mumbai,Goa
11,IntrCity SmartBus,AC Sleeper (2+1),17:45,09:20,15h 35m,2000.0,2300.0,Borivali West,Mapusa,Mumbai,Goa
12,Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),13:00,06:00,17h 00m,1756.0,2196.0,Borivali West,Mapusa,Mumbai,Goa
13,IntrCity SmartBus,VE A/C Sleeper (2+1),19:30,11:45,16h 15m,2000.0,2200.0,Borivali West,Mapusa,Mumbai,Goa
14,Rajdhani Travels Corporation,A/C Sleeper (2+1),20:50,10:05,13h 15m,1500.0,1500.0,Sion,Mapusa,Mumbai,Goa
15,Dolphin Travel House (38),A/C Sleeper (2+1),14:30,07:45,17h 15m,1756.0,2196.0,Borivali West,Mapusa,Mumbai,Goa
