Bus ID,Bus Name,Bus Type,Departure Time,Arrival Time,Journey Duration,Lowest Price(INR),Highest Price(INR),Starting Point,Destination,Starting Point Parent,Destination Point Parent
1,Garud Travels,A/C Sleeper (2+1),21:30,07:00,09h 30m,1000.0,1100.0,Borivali East,S T Stand,Mumbai,Mahabaleshwar
2,Neeta tours and travels,Bharat Benz A/C Seater (2+2),05:45,14:00,08h 15m,662.0,790.0,Borivali West,"The Byke Shanti Villa Resort,Main Gate,Mahabaleshwar",Mumbai,Mahabaleshwar
3,Neeta tours and travels,Bharat Benz A/C Sleeper (2+1),22:30,07:50,09h 20m,776.0,984.0,Borivali West,"The Byke Shanti Villa Resort,Main Gate,Mahabaleshwar",Mumbai,Mahabaleshwar
4,Swami travel,Bharat Benz A/C Sleeper (2+1),22:15,07:05,08h 50m,750.0,750.0,Borivali West,Mahabaleshwar Swami Hotels Blue Park,Mumbai,Mahabaleshwar
5,Vigneshwar Travels,A/C Seater / Sleeper (2+1),21:30,07:15,09h 45m,700.0,1000.0,Borivali West,Mahabaleshwar Bus Stand,Mumbai,Mahabaleshwar
6,Garud Travels,A/C Sleeper (2+1),22:00,07:30,09h 30m,1000.0,1100.0,Borivali East,S T Stand,Mumbai,Mahabaleshwar
7,Swami travel,VE A/C Seater / Sleeper (2+1),21:30,07:05,09h 35m,600.0,600.0,Borivali West,Mahabaleshwar Swami Hotels Blue Park,Mumbai,Mahabaleshwar
8,Swami travel,VE A/C Seater / Sleeper (2+1),23:20,07:10,07h 50m,600.0,900.0,Thane West,Mahabaleshwar Swami Hotels Blue Park,Mumbai,Mahabaleshwar
9,Neeta tours and travels,Bharat Benz A/C Sleeper (2+1),23:00,07:15,08h 15m,762.0,964.0,Borivali West,Lingmala Bus Stop,Mumbai,Mahabaleshwar
10,Ravina Travels (Regd),A/C Sleeper (2+1),11:30,18:00,06h 30m,2099.0,2399.0,Borivali East,Wai,Mumbai,Mahabaleshwar
11,Manish Travels Private Limited,VE A/C Sleeper (2+1),04:00,12:30,08h 30m,2300.0,2300.0,Borivali East,Hotel Sai Park In (Pickup By Car and Drop Mahabaleshwar Bus Stand),Mumbai,Mahabaleshwar
12,Ravina Travels (Regd),A/C Sleeper (2+1),23:15,06:20,07h 05m,3149.1,3999.0,Virar,Wai,Mumbai,Mahabaleshwar
13,Ravina Travels (Regd),A/C Sleeper (2+1),22:15,05:15,07h 00m,1799.1,2199.0,Borivali East,Wai,Mumbai,Mahabaleshwar
