Bus ID,Bus Name,Bus Type,Departure Time,Arrival Time,Journey Duration,Lowest Price(INR),Highest Price(INR),Starting Point,Destination,Starting Point Parent,Destination Point Parent
1,Dolphin Travel House (14),A/C Sleeper (2+1),21:30,07:00,09h 30m,910.0,1010.0,Borivali West,Bus Stand,Mumbai,Shirdi
2,Laxminarayan Travels,A/C Seater / Sleeper (2+1),20:00,05:30,09h 30m,700.0,1000.0,Borivali West,Hotel Holiday Park,Mumbai,Shirdi
3,Neeta tours and travels,Bharat Benz A/C Seater (2+2),06:00,13:45,07h 45m,600.0,719.0,Borivali West,Neeta Annex Hotel,Mumbai,Shirdi
4,Dolphin Travel House (42),Non AC Seater (2+2),21:00,05:30,08h 30m,460.0,460.0,Borivali West,Bus Stand,Mumbai,Shirdi
5,Neeta tours and travels,Bharat Benz A/C Sleeper (2+1),21:00,05:30,08h 30m,752.0,950.0,Borivali West,Neeta Annex Hotel,Mumbai,Shirdi
6,Neeta tours and travels,Bharat Benz A/C Sleeper (2+1),22:30,05:45,07h 15m,724.0,919.0,Borivali West,Neeta Annex Hotel,Mumbai,Shirdi
7,Dolphin Travel House (19),A/C Sleeper (2+2),20:30,05:15,08h 45m,810.0,810.0,Borivali West,Bus Stand,Mumbai,Shirdi
8,Sai travels chembur,A/C Seater / Sleeper (2+1),22:30,07:00,08h 30m,450.0,810.0,Borivali West,Sai Plaza,Mumbai,Shirdi
9,Sai travels chembur,A/C Seater / Sleeper (2+1),20:15,05:15,09h 00m,400.0,810.0,Borivali West,Sai Plaza,Mumbai,Shirdi
10,Dolphin Travel House (11),Non AC Seater (2+2),20:00,07:00,11h 00m,460.0,460.0,Borivali West,Bus Stand,Mumbai,Shirdi
11,Dolphin travel house,A/C Sleeper (2+1),21:45,06:00,08h 15m,610.0,610.0,Masjid Bundar,Bus Stand,Mumbai,Shirdi
12,Lakshmi Travel Mumbai(MH),A/C Sleeper (2+1),21:00,06:30,09h 30m,600.0,600.0,Borivali West,Bus Stand,Mumbai,Shirdi
13,Lakshmi Travels,NON A/C Seater (2+2),21:45,07:00,09h 15m,350.0,350.0,Borivali West,Bus Stand,Mumbai,Shirdi
14,Lakshmi Travel Mumbai(MH),NON A/C Seater (2+2),07:30,16:00,08h 30m,350.0,350.0,Borivali East,Bus Stand,Mumbai,Shirdi
15,Lakshmi Travels,A/C Sleeper (2+1),22:00,06:30,08h 30m,600.0,600.0,Borivali West,Bus Stand,Mumbai,Shirdi
16,Renuka Tours and Travels,A/C Sleeper (2+1),20:15,05:00,08h 45m,800.0,800.0,Borivali West,Hotel Holiday Park,Mumbai,Shirdi
17,Neeta tours and travels,Bharat Benz A/C Seater (2+2),07:00,14:30,07h 30m,500.0,750.0,Borivali West,Neeta Annex Hotel,Mumbai,Shirdi
