Bus ID,Bus Name,Bus Type,Departure Time,Arrival Time,Journey Duration,Lowest Price(INR),Highest Price(INR),Starting Point,Destination,Starting Point Parent,Destination Point Parent
1,Kadamba Transport Corporation Limited (KTCL) - 89821,A/C Sleeper (2+1),19:15,05:50,10h 35m,1400.0,1500.0,Swargate,Mapusa,Pune,Goa
2,Kadamba Transport Corporation Limited (KTCL) - 180183,A/C Sleeper (2+1),20:30,06:00,09h 30m,1100.0,1200.0,Swargate,Mapusa,Pune,Goa
3,Atmaram Gobus,VE A/C Sleeper (2+1),21:00,07:30,10h 30m,1482.0,1852.0,Swargate,Mapusa,Pune,Goa
4,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,08:45,10h 15m,1642.0,2052.0,Swargate,Mapusa,Pune,Goa
5,Atmaram Gobus,Bharat Benz A/C Sleeper (2+1),23:30,08:45,09h 15m,1490.0,1863.0,Swargate,Mapusa,Pune,Goa
6,Ashray Travels Club,Non A/C Seater / Sleeper (2+1),21:20,08:50,11h 30m,799.0,1360.0,Swargate,Mapusa,Pune,Goa
7,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),21:25,07:30,10h 05m,1076.0,1938.0,Swargate,Mapusa,Pune,Goa
8,Ashray Travels Benz,Bharat Benz A/C Sleeper (2+1),21:05,08:30,11h 25m,1451.0,2070.0,Swargate,Mapusa,Pune,Goa
9,Anand Ashray Travels,Volvo Multi-Axle A/C Sleeper (2+1),22:30,09:00,10h 30m,1305.9,1485.9,Swargate,Mapusa,Pune,Goa
10,Ashray Amrutyog,A/C Sleeper (2+1),22:05,09:30,11h 25m,1720.0,2150.0,Swargate,Mapusa,Pune,Goa
11,Ashray National Express,NON A/C Sleeper (2+1),20:00,07:15,11h 15m,1200.0,1540.0,Swargate,Mapusa,Pune,Goa
12,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),00:10,09:55,09h 45m,1841.0,1841.0,Swargate,Mapusa,Pune,Goa
13,Anand Ashray Travels (Royal),Non A/C Seater / Sleeper (2+1),20:30,08:05,11h 35m,799.0,1350.0,Swargate,Mapusa,Pune,Goa
14,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),22:00,08:35,10h 35m,1800.0,2162.0,Swargate,Mapusa,Pune,Goa
