Bus ID,Bus Name,Bus Type,Departure Time,Arrival Time,Journey Duration,Lowest Price(INR),Highest Price(INR),Starting Point,Destination,Starting Point Parent,Destination Point Parent
1,Konduskar Travels Pvt. Ltd,Volvo A/C Seater (2+2),07:00,12:40,05h 40m,857.0,857.0,Dandekar Pool,Kawala Naka,Pune,Kolhapur
2,Konduskar Travels Pvt. Ltd,Volvo A/C Seater (2+2),14:30,19:57,05h 27m,952.0,952.0,Dandekar Pool,Kawala Naka,Pune,Kolhapur
3,Nakoda Travels,Volvo A/C (2+2),07:00,12:00,05h 00m,571.0,571.0,Swargate,Kawala Naka,Pune,Kolhapur
4,AdShreyash Travels,A/C Sleeper (2+1),21:45,04:00,06h 15m,1212.0,1313.0,Swargate,Kolhapura Bypass,Pune,Kolhapur
5,Konduskar Travels Pvt. Ltd,Volvo A/C Seater (2+2),16:00,21:49,05h 49m,952.0,952.0,Dandekar Pool,Kawala Naka,Pune,Kolhapur
6,Shreyash Travels,A/C Sleeper (2+1),23:30,05:15,05h 45m,808.0,858.5,Padmavati Parking,Opp Bus Stand,Pune,Kolhapur
7,Ashoka Travels,A/C Sleeper (2+1),23:50,05:25,05h 35m,1500.0,1500.0,Swargate,Shiroli Phata,Pune,Kolhapur
8,Konduskar Travels Pvt. Ltd,Volvo A/C Seater (2+2),12:15,17:49,05h 34m,852.0,852.0,Dandekar Pool,Kawala Naka,Pune,Kolhapur
9,Konduskar Travels Pvt. Ltd,Volvo A/C Seater (2+2),23:35,04:20,04h 45m,476.0,476.0,Dandekar Pool,Kawala Naka,Pune,Kolhapur
10,Konduskar Travels Pvt. Ltd,Volvo A/C Seater (2+2),07:30,13:30,06h 00m,857.0,857.0,Kothrud,Shiroli Phata,Pune,Kolhapur
11,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:00,02:25,05h 25m,1200.0,1980.0,Swargate,Dabholkar Corner,Pune,Kolhapur
12,Radhanagari Travels,A/C Seater / Sleeper (2+1),21:00,04:30,07h 30m,999.0,1300.0,SANE CHOWK NEAR RAINBOW HOSPITAL,Shiroli Phata,Pune,Kolhapur
13,Indumati Travels,A/C Sleeper (2+1),22:40,04:05,05h 25m,997.5,1187.5,Swargate,Bus Stand,Pune,Kolhapur
14,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),21:25,02:45,05h 20m,1076.0,1938.0,Swargate,Kolhapura Bypass,Pune,Kolhapur
15,Ashoka Travels,A/C Sleeper (2+1),01:30,06:27,04h 57m,1100.0,1200.0,Shivaji Nagar,Dabholkar Corner,Pune,Kolhapur
16,Indumati Travels,NON A/C Seater Push Back (2+2),23:25,05:30,06h 05m,450.0,450.0,Padmavati Parking,Bus Stand,Pune,Kolhapur
17,Ajara Travels (Swami),A/C Seater / Sleeper (2+1),23:20,04:40,05h 20m,1110.0,1805.0,Tale Gaon,Bus Stand,Pune,Kolhapur
18,Mahalaxmi Travels Pareek,AC Sleeper (2+1),01:55,06:29,04h 34m,1000.0,1000.0,Kharadi,Bus Stand,Pune,Kolhapur
19,Konduskar Travels Pvt. Ltd,Volvo A/C Seater (2+2),17:30,23:00,05h 30m,857.0,857.0,Dandekar Pool,Opp. Panchshil Hotel,Pune,Kolhapur
20,Ajara Travels (Swami),Non AC Seater (2+2),23:50,04:00,04h 10m,1140.0,1140.0,Wakad,Bus Stand,Pune,Kolhapur
21,Ashray Travels,A/C Sleeper (2+1),20:30,03:18,06h 48m,760.0,1100.0,Nigdi,"Tavde Hotel,Kolhapur",Pune,Kolhapur
22,Hare Krishna Travels Vaibhav,A/C Sleeper (2+1),05:10,10:35,05h 25m,1000.0,1000.0,Swargate,Bus Stand,Pune,Kolhapur
23,Konduskar Travels Pvt. Ltd,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),02:31,08:50,06h 19m,1150.0,1450.0,Hinje Wadi,Opp Bus Stand,Pune,Kolhapur
24,Rajendra Travels Mahalaxmi,NON A/C Sleeper (2+1),23:30,03:30,04h 00m,900.0,1100.0,Swargate,Dabholkar Corner,Pune,Kolhapur
25,Humsafar Travels,Bharat Benz A/C Sleeper (2+1),22:15,04:30,06h 15m,1190.0,2950.0,Shivaji Nagar,Bus Stand,Pune,Kolhapur
26,Nakoda Travels,A/C Sleeper (2+1),21:45,05:00,07h 15m,952.0,952.0,Swargate,Kolhapura Bypass,Pune,Kolhapur
27,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:15,03:30,05h 15m,1081.0,2181.0,Wakad,Kawala Naka,Pune,Kolhapur
28,Indumati Travels,NON A/C Seater Push Back (2+2),23:15,04:45,05h 30m,450.0,450.0,Padmavati Parking,Bus Stand,Pune,Kolhapur
