Bus ID,Bus Name,Bus Type,Departure Time,Arrival Time,Journey Duration,Lowest Price(INR),Highest Price(INR),Starting Point,Destination,Starting Point Parent,Destination Point Parent
1,Zingbus Plus,A/C Sleeper (2+1),21:40,11:10,13h 30m,1883.0,1883.0,Sangamwadi,S T Bus Stand,Pune,Nagpur
2,Sanjay Travels,A/C Sleeper (2+1),19:30,07:00,11h 30m,1700.0,1900.0,Sangamwadi,Samruddhi Starting Point Circle,Pune,Nagpur
3,Sanjay Travels,A/C Sleeper (2+1),21:00,08:30,11h 30m,1700.0,1900.0,Sangamwadi,Samruddhi Starting Point Circle,Pune,Nagpur
4,Sanjay Travels,A/C Sleeper (2+1),20:30,08:00,11h 30m,1600.0,1800.0,Sangamwadi,Samruddhi Starting Point Circle,Pune,Nagpur
5,Zingbus Plus,VE A/C Sleeper (2+1),18:00,07:55,13h 55m,1535.63,2178.75,Sangamwadi,S T Bus Stand,Pune,Nagpur
6,Saini Travels Pvt. Ltd.,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:00,08:31,13h 31m,1700.0,2200.0,Sangamwadi,Wadi,Pune,Nagpur
7,Sanjay Travels,A/C Sleeper (2+1),17:45,06:15,12h 30m,1600.0,1800.0,Sangamwadi,Ashirwad Theatre,Pune,Nagpur
8,Sanjay Travels,A/C Sleeper (2+1),17:00,06:00,13h 00m,1600.0,1900.0,Sangamwadi,Chatrapathi,Pune,Nagpur
9,Prasanna - Purple Bus,VE A/C Sleeper (2+1),18:00,08:00,14h 00m,2020.0,2470.0,Sangamwadi,Somalwada,Pune,Nagpur
10,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),19:00,07:40,12h 40m,1559.0,2419.0,Sangamwadi,Ashirwad Theatre,Pune,Nagpur
11,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),18:00,06:05,12h 05m,1679.0,3079.0,Sangamwadi,Chatrapathi,Pune,Nagpur
12,Baba Travels,Bharat Benz A/C Sleeper (2+1),19:00,07:30,12h 30m,1423.81,1804.76,Sangamwadi,Metro Station Airport South,Pune,Nagpur
13,Prasanna - Purple Bus,VE A/C Sleeper (2+1),17:00,07:00,14h 00m,2020.0,2470.0,Sangamwadi,Somalwada,Pune,Nagpur
14,VRL Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),21:00,10:00,13h 00m,2200.0,2500.0,Hinje Wadi,Ashirwad Theatre,Pune,Nagpur
15,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),19:45,08:55,13h 10m,1009.0,2819.0,Sangamwadi,Wadi,Pune,Nagpur
16,Baba Travels,Bharat Benz A/C Sleeper (2+1),17:30,06:00,12h 30m,1519.05,1804.76,Sangamwadi,Bole Petrol Pump,Pune,Nagpur
17,Vijayant Travels,AC Sleeper (2+1),18:15,08:15,14h 00m,2199.0,2199.0,Sangamwadi,Lohapul,Pune,Nagpur
18,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:00,09:50,12h 50m,889.0,2679.0,Sangamwadi,Wadi,Pune,Nagpur
19,Sanjay Travels,A/C Sleeper (2+1),22:00,09:30,11h 30m,1600.0,1800.0,Sangamwadi,Samruddhi Starting Point Circle,Pune,Nagpur
20,Sanjay Travels,A/C Sleeper (2+1),22:30,10:00,11h 30m,1700.0,1900.0,Sangamwadi,Samruddhi Starting Point Circle,Pune,Nagpur
