Bus ID,Bus Name,Bus Type,Departure Time,Arrival Time,Journey Duration,Lowest Price(INR),Highest Price(INR),Starting Point,Destination,Starting Point Parent,Destination Point Parent
1,EZBUS (Ashok Travels Ujjain),A/C Sleeper (2+1),18:35,23:45,05h 10m,550.0,2110.0,Wakad,Dwarka Circle,Pune,Nashik
2,Mahakali Travels,A/C Sleeper (2+1),23:50,05:30,05h 40m,700.0,700.0,Shivaji Nagar,Thakkar Bazaar,Pune,Nashik
3,Swamini Tours And Travels,A/C Sleeper (2+1),23:50,05:00,05h 10m,800.0,900.0,Shivaji Nagar,Pimpalwadi Road,Pune,Nashik
4,AdShivalay Travels,AC Sleeper (2+1),23:40,05:30,05h 50m,899.0,899.0,Nashik Phata,Thakkar Bazaar,Pune,Nashik
5,Online go,AC Sleeper (2+1),23:15,05:44,06h 29m,800.0,900.0,Centurion Hotel (redbus Lounge),Samta Nagar,Pune,Nashik
6,Shatabdi Travels,A/C Sleeper (2+1),23:30,05:00,05h 30m,639.0,810.0,Shivaji Nagar,Bytco Point,Pune,Nashik
7,Samrat Travels (Pune) Pareek,A/C Sleeper (2+1),23:45,05:23,05h 38m,810.0,910.0,Shivaji Nagar,Upanagar,Pune,Nashik
8,Mahakali Travels,NON A/C Seater Push Back (2+2),23:50,05:00,05h 10m,500.0,500.0,Shivaji Nagar,Bytco Point,Pune,Nashik
9,Mahakali Travels,A/C Sleeper (2+1),07:00,12:30,05h 30m,450.0,450.0,Shivaji Nagar,Thakkar Bazaar,Pune,Nashik
10,India Travels Mahakali,Non AC Seater (2+2),23:55,05:32,05h 37m,647.5,700.0,Shivaji Nagar,Bus stand,Pune,Nashik
11,Raj Ratan Tours And Travels,Bharat Benz A/C Sleeper (2+1),17:15,23:00,05h 45m,899.0,999.0,Sangamwadi,Dwarka Circle,Pune,Nashik
12,Hans Travels (I) Private Limited,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,23:55,05h 25m,900.0,900.0,Sangamwadi,Dwarka Circle,Pune,Nashik
13,Samrat Travels (Pune) Pareek,A/C Sleeper (2+1),23:50,05:23,05h 33m,810.0,910.0,Shivaji Nagar,Upanagar,Pune,Nashik
14,Hans Travels (I) Private Limited,A/C Sleeper (2+1),22:10,02:10,04h 00m,800.0,800.0,Shankar Sheth Road,Bypass (nashik),Pune,Nashik
15,Safar Travels (Pune),NON A/C Sleeper (2+1),23:35,06:05,06h 30m,930.0,1030.0,Shivaji Nagar,Thakkar Bazaar,Pune,Nashik
16,Prasanna - Purple Bus,VE A/C Sleeper (2+1),07:15,12:30,05h 15m,1020.0,1120.0,Swargate,SINNAR - Near Sinner Bus Stand,Pune,Nashik
17,Avadhoot Travels,NON A/C Sleeper (2+1),19:45,03:00,07h 15m,650.0,650.0,Sangamwadi,Dwarka Circle,Pune,Nashik
18,Mahalaxmi Travels Pareek,AC Sleeper (2+1),01:30,07:00,05h 30m,999.0,999.0,Laxminarayan Theater,Dwarka Circle,Pune,Nashik
19,Priya Travels,NON A/C Sleeper (2+1),06:00,10:30,04h 30m,740.0,1000.0,danga chowk,Dwarka Circle,Pune,Nashik
20,Eeshan Logistic Pareek Pareek-Eshan,AC Sleeper (2+1),01:35,06:50,05h 15m,1000.0,1000.0,Bharati Vidyapeeth,Bytco Point,Pune,Nashik
