Bus ID,Bus Name,Bus Type,Departure Time,Arrival Time,Journey Duration,Lowest Price(INR),Highest Price(INR),Starting Point,Destination,Starting Point Parent,Destination Point Parent
1,Galaxy Travels,A/C Sleeper (2+1),02:55,08:00,05h 05m,750.0,750.0,Limda Chowk,DWARKA,Rajkot,Dwarka
2,SHREE BANSIDHAR TRAVELS®️,A/C Sleeper (2+1),02:06,07:15,05h 09m,800.0,800.0,rajkot  morbi road bedi chokdi,"Shree Banshidhar Travels ,Bhadrakali Chowk",Rajkot,Dwarka
3,SHREE BANSIDHAR TRAVELS®️,NON A/C Sleeper (2+1),03:00,08:30,05h 30m,550.0,550.0,rajkot  morbi road bedi chokdi,"Shree Banshidhar Travels ,Bhadrakali Chowk",Rajkot,Dwarka
4,SHREE BANSIDHAR TRAVELS®️,NON A/C Sleeper (2+1),04:00,08:30,04h 30m,500.0,500.0,Green Land Chokdi,shree Bansidhar travels bhadrakali chowk(Dwarka,Rajkot,Dwarka
5,SHREE BANSIDHAR TRAVELS®️,NON A/C Sleeper (2+1),03:50,09:15,05h 25m,600.0,600.0,rajkot  morbi road bedi chokdi,"Shree Banshidhar Travels ,Bhadrakali Chowk",Rajkot,Dwarka
6,Jay Dwarkesh Travels,A/C Sleeper (2+1),04:00,08:30,04h 30m,1000.0,1000.0,Green Land Chokdi,J.B Travels Bhadrakali Chowk,Rajkot,Dwarka
7,Nand Travels (R),NON A/C Sleeper (2+1),04:00,08:45,04h 45m,523.0,523.0,Madhapar Chokdi,Swastik Travels - Bhadrakali Chowk,Rajkot,Dwarka
8,Nand Travels (R),NON A/C Sleeper (2+1),04:15,09:15,05h 00m,570.0,570.0,Green Land Chokdi,Dwarka Circle,Rajkot,Dwarka
9,Shree Vasudev Travels,NON A/C Sleeper (2+1),03:40,08:30,04h 50m,850.0,850.0,Green Land Chokdi,DWARKA,Rajkot,Dwarka
10,Samay Travels,A/C Sleeper (2+1),03:20,10:00,06h 40m,1000.0,1000.0,Madhapar Chokdi,DWARKA,Rajkot,Dwarka
11,Chirag Travels,A/C Sleeper (2+1),04:00,08:15,04h 15m,1000.0,1000.0,Madhapar Chokdi,Bhadrakali Road J.b Travels,Rajkot,Dwarka
12,Samay Travels,A/C Sleeper (2+1),03:05,08:30,05h 25m,550.0,550.0,Madhapar Chokdi,DWARKA,Rajkot,Dwarka
